央视,#genre#
CCTV1综合,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv1hd265/50/20191230/index.m3u8?msisdn=202608242000535999880309e240008f75e0456f84c170&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260824200053&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=182.136.94.49&SecurityKey=20260824200053&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3f5e8ddd5d00cba51adfb080a05b049e&ddCalcu=e39fv45a0eyb8a5d0dad058d00b0fcdbaa15&sv=10004&ct=android
CCTV2财经,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv2hd265/53/20210617/index.m3u8?msisdn=202608242000534630bb53a42d476c855f87a2e8f2b6ec&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260824200053&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=182.136.94.49&SecurityKey=20260824200053&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ee7fa6620f439beb5afbddcece3c0cf1&ddCalcu=1efevc7a0fzcaa36e6c2e0cfd4d3b9fbae5b&sv=10004&ct=android
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?msisdn=20260824200054d38487b52e0f48df9d8d2aea446a0b33&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260824200054&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=182.136.94.49&SecurityKey=20260824200054&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=35e9a11551cd15c704c4d5afe385fc7d&ddCalcu=d375vceaf9a5aa8131e5f5a15cdd41c54c07&sv=10004&ct=android
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv4hd265/50/20191230/index.m3u8?msisdn=20260824200054e7d02960ad9c432b8219022f9bb71020&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260824200054&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=182.136.94.49&SecurityKey=20260824200054&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3eca8dc966d1c08534a15d59dfaf435e&ddCalcu=e35ev3ca4ayf8aadfcd99656dd511ca04835&sv=10004&ct=android
CCTV5体育,http://gslbflvmgsplive.miguvideo.com/mglive/cctv5_53.flv?msisdn=20260824200054ee3b9d0c8a454429aed6f43ec04720ec&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20260824200054&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=182.136.94.49&SecurityKey=20260824200054&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=791d83220a1f9ac071906bd8580b0eac&ddCalcu=c7a9ve1a0dwb8a03825280dab16f099a1c70&sv=10004&ct=android
CCTV5+体育赛事,http://gslbflvmgsplive.miguvideo.com/mglive/cctv5plus_50.flv?msisdn=20260824200054db644dac447640889cb9b9c55e128bee&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260824200054&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=182.136.94.49&SecurityKey=20260824200054&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3274eb6ded2dd8ff719f98af0db57a24&ddCalcu=4322va7a74x5eabbd60dfead829dfd981f7f&sv=10004&ct=android
CCTV6电影,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv6hd265/53/20210617/index.m3u8?msisdn=2026082420005464304c4710bc43278859cef4e6cc65b7&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260824200054&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=182.136.94.49&SecurityKey=20260824200054&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=04b5e80790b70068bd7b01ba8adcdb20&ddCalcu=0024vbbad5bcead8a087a9b01b07b070d6b8&sv=10004&ct=android
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=2026082420005558445b723c6f4566a2b2d4d4640b4c9f&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20260824200055&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=182.136.94.49&SecurityKey=20260824200055&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9343ad8edc0d7409718639f48f443fdf&ddCalcu=f9d3vf4a33d4aa4df88e4dfc903d67841079&sv=10004&ct=android
CCTV8电视剧,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv8hd265/53/20210617/index.m3u8?msisdn=2026082420005549c589986eb2464b84e694d04ebf4d91&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20260824200055&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=182.136.94.49&SecurityKey=20260824200055&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=e897249823cf3dce7125acd2264d8881&ddCalcu=1e88v89a87bd2a44692822d3ccaf532d1c7e&sv=10004&ct=android
CCTV9纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/50/index.m3u8?msisdn=2026082420005564e96ec3b57d431ea42564a5411d0210&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20260824200055&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=182.136.94.49&SecurityKey=20260824200055&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=80e0710ab3fbc277645be43913feeab1&ddCalcu=18b0vaeae0de7af1301a9b334febbc524767&sv=10004&ct=android
CCTV10科教,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv10hd265/53/20210617/index.m3u8?msisdn=20260824200055eb9e239fdfd3427682b7ad72f2a5677b&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20260824200055&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=182.136.94.49&SecurityKey=20260824200055&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3eafeaad461a15cea120b8154d8f8696&ddCalcu=639ev6aa8fyfea8ada4d541681ba01251cae&sv=10004&ct=android
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd265/53/20210617/index.m3u8?msisdn=20260824200055626341f0927c458c8564f2bd02448b46&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20260824200055&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=182.136.94.49&SecurityKey=20260824200055&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=7067b4d83153c29c7fe93d2605953341&ddCalcu=1740v36a37z5ba945d086321d5339ce2f97c&sv=10004&ct=android
CCTV12社会与法,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/50/index.m3u8?msisdn=20260824200056b352a4d0d3534d5f9cdb9b91e93b0abb&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20260824200056&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=182.136.94.49&SecurityKey=20260824200056&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=97de22e5e563972a759d792d2cea8b3b&ddCalcu=b937vbda8eda2ae2ce25de259673d997527a&sv=10004&ct=android
CCTV13新闻,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/1000/index.m3u8?msisdn=20260824200056cd1eab1953dc4743a145a2f12480955b&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20260824200056&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=182.136.94.49&SecurityKey=20260824200056&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=6ec89deb20f2295b1b4987a1d6dbe1b9&ddCalcu=96bev1cae8yb9add6edb12a07f829249b51b&sv=10004&ct=android
CCTV14少儿,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv14hd265/53/20210617/index.m3u8?msisdn=202608242000563a42581dec004edbb53cb72f3252f6e4&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20260824200056&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=182.136.94.49&SecurityKey=20260824200056&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=b961cb9486f0ed54c328100b06aca9f0&ddCalcu=0bf9v96aa1yccaab6904b8060f108e2d35c4&sv=10004&ct=android
CCTV15音乐,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/50/index.m3u8?msisdn=202608242000568b7b62c7bc074cb599dc8e7c465219f7&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20260824200056&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=182.136.94.49&SecurityKey=20260824200056&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=5fc99108c0c5f4448da23a18b022a147&ddCalcu=754fv1caa9a29a2100b88c10ac352fa4d484&sv=10004&ct=android
CCTV17农业农村,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/50/index.m3u8?msisdn=20260824200056b3cde7b778bc4165b71db0417c5da404&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20260824200056&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=182.136.94.49&SecurityKey=20260824200056&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-9.8.1-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=f99153b534ef4e3d60659c5e25e0df50&ddCalcu=0f59vf9ad1a05ae35b25e354ce9f546e036d&sv=10004&ct=android
